"","t","DELL","SNP","MS","FTSV","NUE","TWTR","NKE"
"2019-12-23",193,50.459999,59.389999,50.720001,44.310001,56.77,32.43,100.040001
"2019-12-24",194,50.830002,59.32,50.689999,43.939999,56.66,32.5,100.139999
"2019-12-26",195,52.009998,59.619999,51.110001,44.110001,56.799999,32.630001,100.709999
"2019-12-27",196,50.98,60,51.09,44.049999,56.68,32.549999,101.57
"2019-12-30",197,50.91,59.68,50.959999,43.560001,56.080002,32.029999,100.800003
"2019-12-31",198,51.389999,60.150002,51.119999,39.369999,56.279999,32.049999,101.309998
"2020-01-02",199,52.290001,61.220001,52.040001,40,55.119999,32.299999,102.199997
"2020-01-03",200,50.57,61.52,51.200001,38.349998,54.389999,31.52,101.919998
"2020-01-06",201,51.080002,61.950001,51.02,38.110001,53.93,31.639999,101.830002
"2020-01-07",202,49.799999,61.66,50.919998,36.860001,53.810001,32.540001,101.779999
"2020-01-08",203,50,60.77,51.57,36.5,53.68,33.049999,101.550003
"2020-01-09",204,49.619999,61.599998,52.060001,36.060001,53.5,33.220001,101.480003
"2020-01-10",205,49.509998,60.869999,52.209999,35.279999,52.77,32.779999,100.900002
"2020-01-13",206,49.830002,60.91,52.779999,35.740002,53.369999,32.689999,102.160004
"2020-01-14",207,50.860001,60.130001,52.860001,36.279999,54,32.82,102.919998
"2020-01-15",208,50.599998,59.849998,52.939999,36.799999,53.43,33.23,102.790001
"2020-01-16",209,51.34,60.419998,56.439999,41.150002,53.349998,34.189999,103.370003
"2020-01-17",210,50.34,60.700001,57.509998,45.740002,53.810001,34.220001,104.529999
"2020-01-21",211,49.290001,58.509998,55.919998,42.779999,52.360001,34.09,104.580002
"2020-01-22",212,49.939999,58.18,55.860001,41.849998,51.970001,34.02,104.489998
"2020-01-23",213,50.369999,57.77,55.529999,43.650002,51.75,33.889999,103.019997
"2020-01-24",214,49.98,57.16,54.549999,39.029999,50.330002,33.189999,102.029999
"2020-01-27",215,48.150002,55.279999,53.110001,39.34,49.18,32.779999,100.239998
"2020-01-28",216,48.68,55.5,54.02,38.759998,49.470001,33.419998,100.410004
"2020-01-29",217,48.950001,55.23,53.68,38.82,48.060001,33.630001,99.839996
"2020-01-30",218,49.380001,54.540001,53.82,39.689999,48.860001,33.220001,98.190002
"2020-01-31",219,48.77,52.43,52.259998,36.869999,47.490002,32.48,96.300003
"2020-02-03",220,49.18,51.860001,52.599998,41.630001,47.939999,33.07,99.269997
"2020-02-04",221,51.029999,52.75,54.02,40.529999,48.84,33.959999,101.379997
"2020-02-05",222,50.790001,53.799999,54.990002,41.669998,49.52,33.389999,100.540001
"2020-02-06",223,52.849998,54.509998,55.009998,43.330002,49.049999,38.41,100.269997
"2020-02-07",224,51.619999,53.630001,55.029999,43.099998,47.919998,37.029999,99.440002
"2020-02-10",225,52.110001,53.709999,55.349998,44.610001,47.66,35.959999,100.019997
"2020-02-11",226,52.259998,54.41,55.779999,42.799999,48.34,35.650002,100.019997
"2020-02-12",227,53.299999,55.09,56.18,42.310001,48.369999,36.790001,103
"2020-02-13",228,52.549999,54.400002,55.93,42.439999,47.950001,37.16,103.370003
"2020-02-14",229,52.880001,54.32,55.84,44.810001,47.150002,36.91,103.540001
"2020-02-18",230,52.77,54.299999,55.52,45.650002,47.389999,38.060001,102
"2020-02-19",231,53.34,54.599998,56.310001,47.549999,47.709999,38.77,102.459999
"2020-02-20",232,52.950001,54.040001,53.75,49,47.849998,39.049999,102.529999
"2020-02-21",233,51.720001,53.900002,52.419998,49.220001,48.57,38.310001,100.25
"2020-02-24",234,48.310001,52.139999,49.68,48.599998,47.290001,35.889999,95.910004
"2020-02-25",235,46.220001,51.419998,48.029999,49.790001,44.970001,35.209999,92.900002
"2020-02-26",236,45.93,51.75,47.240002,48.299999,43.669998,34.630001,92
"2020-02-27",237,43.560001,51.580002,45.41,48.790001,41.810001,33.009998,88.550003
"2020-02-28",238,40.459999,51.540001,45.029999,58,41.349998,33.200001,89.379997
"2020-03-02",239,42.389999,52.669998,46.48,93.910004,42.700001,35.82,92.68
"2020-03-03",240,41.779999,51.740002,44.400002,94.239998,41.869999,34.93,90.93
"2020-03-04",241,43.380001,52.07,45.240002,94.480003,43.189999,36,93.790001
"2020-03-05",242,40.849998,51.25,42.59,94.540001,40.77,34.970001,90.580002
"2020-03-06",243,39.619999,49.439999,41.84,94.349998,39.610001,33.459999,88.360001
"2020-03-09",244,36.25,46.830002,37.5,94.540001,34.720001,32.459999,84.110001
"2020-03-10",245,39.139999,49.959999,39.5,94.949997,37.130001,34.310001,88.300003
"2020-03-11",246,36.939999,48.330002,36.869999,94.660004,35.43,31.299999,84
"2020-03-12",247,32.740002,45.060001,31.309999,92.989998,31.77,26.780001,74.199997
"2020-03-13",248,35.950001,47.73,37.5,93.260002,35.84,29.290001,75.580002
"2020-03-16",249,32.209999,45.73,31.65,92.230003,30.639999,24.040001,66.790001
"2020-03-17",250,31.32,46.860001,33.790001,91.940002,30.99,24.48,69.839996
"2020-03-18",251,28.870001,44.389999,30.75,90.389999,29.35,22,68.040001
"2020-03-19",252,31.959999,42.139999,30.92,91.389999,30.82,24.129999,70.339996
"2020-03-20",253,32.490002,43.220001,29.67,91.839996,30.629999,23.950001,67.449997
"2020-03-23",254,33.939999,43.93,27.809999,92.989998,28.42,24.690001,62.799999
"2020-03-24",255,38.849998,45.09,33.220001,94.110001,31.98,25.85,72.330002
"2020-03-25",256,39.34,47.139999,33.990002,93.870003,31.200001,25.969999,79.010002
"2020-03-26",257,42.540001,47.400002,35.709999,94.470001,33.540001,26.41,84.300003
"2020-03-27",258,38.75,45.509998,34.009998,94.550003,33.360001,25.290001,83.230003
"2020-03-30",259,39.799999,47.66,34.84,95.370003,34.919998,25.59,85.379997
"2020-03-31",260,39.549999,48.700001,34,95.419998,36.02,24.559999,82.739998
"2020-04-01",261,36.900002,47.529999,31.620001,95.440002,35.900002,23.32,79.230003
