"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"252",36.666668,37.419712,36.638981,37.220375,1059700,37.220375
"253",37.004429,37.452934,36.75526,36.766335,836100,36.766335
"254",36.683277,37.093021,36.506092,36.993355,692200,36.993355
"255",36.965672,37.209301,36.589146,37.137321,1472200,37.137321
"256",37.674419,38.189369,37.55814,38.045403,1975200,38.045403
"257",37.72979,38.333332,37.72979,38.316723,1547200,38.316723
"258",38.333332,38.820599,38.333332,38.715393,1523700,38.715393
"259",39.324474,40.199337,39.230343,39.723145,4350200,39.723145
"260",39.700996,40.509415,39.584717,40.310078,1800000,40.310078
"261",40.077518,40.575859,39.529346,40.387596,1354500,40.387596
"262",40.470654,41.140644,40.415283,41.101883,1830500,41.101883
"263",41.229237,41.52824,41.135105,41.489479,2223000,41.489479
"264",41.517166,41.566998,41.223698,41.395348,2462400,41.395348
"265",41.179401,41.583611,40.924694,41.417496,2688200,41.417496
"266",41.52824,41.605759,41.339977,41.351051,3790600,41.351051
"267",41.251385,41.716499,41.12957,41.234772,3710200,41.234772
"268",41.18494,41.672203,41.08527,41.118492,2144800,41.118492
"269",41.594685,41.866001,41.450718,41.782948,2712700,41.782948
"270",41.805096,42.231449,41.683277,42.220375,2057700,42.220375
"271",42.225914,42.596901,42.15947,42.486156,2380400,42.486156
"272",42.480621,43.017719,42.403099,42.834995,2820000,42.834995
"273",42.779625,42.868217,42.547066,42.624584,6240800,42.624584
"274",42.541527,42.873753,42.408638,42.552601,1781900,42.552601
"275",42.624584,42.768551,42.297897,42.535992,1699000,42.535992
"276",42.519379,42.718716,42.375416,42.541527,2886500,42.541527
"277",42.403099,42.702103,41.915836,42.414173,1349600,42.414173
"278",42.436325,42.641197,42.325581,42.641197,1595700,42.641197
"279",42.480621,42.607975,41.849392,42.04319,2629300,42.04319
"280",42.358803,42.403099,42.04319,42.148396,4095100,42.148396
"281",42.364342,42.934662,42.364342,42.702103,2340500,42.702103
"282",42.691029,42.823921,42.397564,42.718716,1991600,42.718716
"283",42.807308,42.967884,42.66888,42.751938,2041500,42.751938
"284",42.768551,43.427464,42.763012,43.156147,2588900,43.156147
"285",43.18383,43.565891,43.133999,43.338871,2179800,43.338871
"286",43.344406,43.433002,43.034328,43.311184,2093300,43.311184
"287",43.466225,43.842747,43.327797,43.765228,2435900,43.765228
"288",43.549282,43.776302,43.377628,43.765228,2449400,43.765228
"289",43.81506,44.031006,43.74308,43.887043,1326300,43.887043
"290",44.042084,44.191582,43.671097,43.787376,1714900,43.787376
"291",43.792912,44.019932,43.671097,43.942413,2131200,43.942413
"292",44.008858,44.551495,43.98671,44.457363,2078700,44.457363
"293",44.584717,44.82835,44.462902,44.673309,1657100,44.673309
"294",44.723145,45.121815,44.678848,44.905869,2080500,44.905869
"295",44.933556,45.099667,44.745293,44.844963,1670300,44.844963
"296",44.928017,45.238094,44.905869,45.044296,3984200,45.044296
"297",45,45.265781,44.806202,45.204872,2846900,45.204872
"298",45.404209,45.681065,45.304539,45.537098,2068200,45.537098
"299",45.636765,46.052048,45.62569,45.79734,2072500,45.79734
"300",45.775192,46.096344,45.697674,46.096344,1869700,46.096344
"301",45.863789,46.151718,45.465115,45.736435,2419300,45.736435
"302",45.819492,46.068661,45.747509,45.941307,1433400,45.941307
"303",46.101883,46.500553,45.880398,46.445183,1754100,46.445183
"304",46.406422,46.445183,45.908085,46.040974,1391100,46.040974
"305",46.074196,46.135105,45.636765,45.830566,3705100,45.830566
"306",46.135105,46.135105,45.426357,45.62569,2009700,45.62569
"307",45.51495,45.531563,44.972313,45.326691,1901800,45.326691
"308",45.22702,45.321152,44.551495,44.778515,1755400,44.778515
"309",44.850498,45.531563,44.795128,45.138428,2382200,45.138428
"310",45.271317,45.780731,45.254707,45.669991,1706400,45.669991
"311",45.454041,45.863789,45.332226,45.575859,1543900,45.575859
"312",45.088593,45.509415,44.662235,45.337765,2196000,45.337765
"313",45.221485,45.736435,45.193798,45.725361,1387700,45.725361
"314",45.3433,45.631229,45.094131,45.299004,1906200,45.299004
"315",45.182724,45.365448,45.016613,45.121815,2055200,45.121815
"316",44.806202,44.922482,44.119602,44.446289,2809500,44.446289
"317",44.717609,45.404209,44.673309,45.033222,2282200,45.033222
"318",44.950165,45.3433,44.789589,45.121815,2021400,45.121815
"319",45.11628,45.531563,44.966778,44.994461,2250000,44.994461
"320",44.994461,45.891472,44.844963,45.531563,3370100,45.531563
"321",45.470654,45.62569,44.673309,44.734219,2676100,44.734219
